id,Title,Content,"Property Categories",_vc_post_settings,property_property_type,property_bedroom,property_bathroom,property_building_size,property_lot_size,property_parking,property_construction_status,property_price,property_price_hidden,property_price_type,property_slideshow_images,property_address,property_longitude,property_new_tag,property_hot_offer,property_featured,property_price_cut,property_open_house,property_foreclosure,property_floor_plan,property_attachment,property_agents,property_amenities,property_neighborhood
190,"Metro View Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1200|1200,,,,"1.25 Cr|1.25 Cr",,1|1,44|44,"2nd/3rd Floor, Sector 13 Dwarka, Delhi, India|2nd/3rd Floor, Sector 13 Dwarka, Delhi, India",77.0348573|77.0348573,on|on,,,,,,,"  |  ","a:2:{i:0;s:3:""167"";i:1;s:3:""165"";}|a:2:{i:0;s:3:""167"";i:1;s:3:""165"";}","a:11:{i:0;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:16;s:2:""on"";}|a:11:{i:0;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:16;s:2:""on"";}",
191,"Nayantara Apartments",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1470|1470,,,,"1.65 Cr|1.65 Cr",,1|1,"17 |17 ","4th /10th Floor, Sector 7 Dwarka, New Delhi, Delhi, India|4th /10th Floor, Sector 7 Dwarka, New Delhi, Delhi, India",77.07155639999996|77.07155639999996,on|on,,on|on,,,," ","   |   ",,"a:11:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";}|a:11:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";}",
192,"DDA Akshardham Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,2|2,,1200|1200,,,,"1 Cr|1 Cr",,1|1,54|54,"1st/3rd Floor, Sector 19, Dwarka, Delhi, India|1st/3rd Floor, Sector 19, Dwarka, Delhi, India",77.04864220000002|77.04864220000002,on|on,,,,,,,"  |  ",,"a:14:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}|a:14:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}",
193,"Golf View Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,4|4,,1400|1400,,,,"1.8 Cr|1.8 Cr",,1|1,"53 |53 ","7th/10th Floor, Sector 19, Dwarka, Delhi, India|7th/10th Floor, Sector 19, Dwarka, Delhi, India",-121.75524658203125|-121.75524658203125,,,,,,,"   |   ","   |   ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
194,"Seema Apartments",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1900|1900,,,,"2.25 Cr|2.25 Cr",,1|1,52|52,"3rd/10th Floor, Sector 11 Dwarka, Delhi, India|3rd/10th Floor, Sector 11 Dwarka, Delhi, India",77.0492504|77.0492504,,on|on,,,,,,"  |  ",,"a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";}|a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";}",
195,"Shubham Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1500|1500,,,,"1.15 Cr|1.15 Cr",,1|1,51|51,"5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India|5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003|77.05971750000003,on|on,,,on|on,,,,"   |   ",,"a:14:{i:1;s:2:""on"";i:3;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:14:{i:1;s:2:""on"";i:3;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
196,"Rihayshi CGHS Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,2|2,,1200|1200,,,,"0.85 Cr|0.85 Cr",,1|1,51|51,"3rd Top Floor, Sector 12 Dwarka, Delhi, India|3rd Top Floor, Sector 12 Dwarka, Delhi, India",77.04349339999999|77.04349339999999,on|on,on|on,,,,,"  |  ","  |  ",,"a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}|a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}",
197,"Beverly Park",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1750|1750,,,,"1.95 Cr|1.95 Cr",,1|1,44|44,"5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India|5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003|77.05971750000003,,on|on,,,,,,"   |   ",,"a:17:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:17:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
198,"DDA Flat",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1350|1350,,,,"1.35 Cr|1.35 Cr",,1|1,17|17,"3rd/4th Floor, Sector 22 Dwarka, New Delhi, Delhi, India|3rd/4th Floor, Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003|77.05971750000003,on|on,,,,,,,"  |  ",,"a:16:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:16:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
199,"Shiv Lok Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,2|2,,1250|1250,,,,"1 Cr|1 Cr",,1|1,54|54,"4th Floor, Sector 6 Dwarka, New Delhi, Delhi, India|4th Floor, Sector 6 Dwarka, New Delhi, Delhi, India",77.0636419|77.0636419,,,,,,,"  |  ","  |  ",,"a:15:{i:0;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:15:{i:0;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
